"Work Item Type","Title","Description","Area Path","Iteration Path","Tags"
"Feature","F12 Confirmation and secure order lookup","Localized confirmation and non-enumerable order lookup. Parent: E05.","MGParts","MGParts","MGParts-MVP; BA-F12; BA-E05"
"Feature","F13 Catalog administration and fixtures","Protected import/management and deterministic non-production reset. Parent: E06.","MGParts","MGParts","MGParts-MVP; BA-F13; BA-E06"
"Feature","F14 Observability and controlled failures","Correlation, structured events and bounded fault scenarios. Parent: E06.","MGParts","MGParts","MGParts-MVP; BA-F14; BA-E06"
"Feature","F15 API contracts, authorization and privacy","OpenAPI, stable errors, security and privacy boundaries. Parent: E06.","MGParts","MGParts","MGParts-MVP; BA-F15; BA-E06"
"Feature","F16 Automated functional quality gates","CI unit, integration, contract and multilingual E2E gates. Parent: E07.","MGParts","MGParts","MGParts-MVP; BA-F16; BA-E07"
"Feature","F17 Non-functional, RAG and agent evaluation gates","Accessibility, performance, security and reproducible AI evaluation. Parent: E07.","MGParts","MGParts","MGParts-MVP; BA-F17; BA-E07; RAG; Agentic-AI"
"User Story","US001 Select Egypt or UK market","Apply and persist explicit EG/GB market context and revalidate dependent state. Parent: F01.","MGParts","MGParts","MGParts-MVP; BA-US001; BA-F01; Priority-1"
"User Story","US002 Switch Arabic and English without losing state","Retain page, vehicle and cart while updating language/direction and enforcing translation completeness. Parent: F01.","MGParts","MGParts","MGParts-MVP; BA-US002; BA-F01; Priority-1"
"User Story","US003 Display EGP GBP USD or EUR","Apply market defaults and versioned FX/rounding without changing the active market. Parent: F01.","MGParts","MGParts","MGParts-MVP; BA-US003; BA-F01; Priority-1"
"User Story","US004 Render critical Arabic journeys in RTL","Mirror meaningful direction while preserving readable numbers/references at target widths. Parent: F02.","MGParts","MGParts","MGParts-MVP; BA-US004; BA-F02; Priority-1"
"User Story","US005 Complete the journey with keyboard and assistive technology","Meet agreed WCAG checks with semantic controls, focus, errors, status and stable test IDs. Parent: F02.","MGParts","MGParts","MGParts-MVP; BA-US005; BA-F02; Priority-1"
"User Story","US006 Select MG model year and engine","Offer valid fixture combinations and allow an intentionally ambiguous incomplete vehicle. Parent: F03.","MGParts","MGParts","MGParts-MVP; BA-US006; BA-F03; Priority-1"
"User Story","US007 Persist or safely change selected vehicle","Show vehicle context everywhere and flag affected cart lines without deleting them. Parent: F03.","MGParts","MGParts","MGParts-MVP; BA-US007; BA-F03; Priority-1"
"User Story","US008 Browse localized categories and subcategories","Use stable IDs, deterministic URLs and breadcrumbs for vehicle catalog browsing. Parent: F04.","MGParts","MGParts","MGParts-MVP; BA-US008; BA-F04; Priority-1"
"User Story","US009 Handle pagination and empty or retired categories","Provide stable pagination plus intentional empty/not-found states and recovery actions. Parent: F04.","MGParts","MGParts","MGParts-MVP; BA-US009; BA-F04; Priority-2"
"User Story","US010 Evaluate and explain vehicle compatibility","Return one of four fitment statuses and never present ambiguous/incompatible as compatible. Parent: F05.","MGParts","MGParts","MGParts-MVP; BA-US010; BA-F05; Priority-1"
"User Story","US011 Show alternative replacement and related parts","Make relationship type explicit and prevent sale of discontinued parts. Parent: F05.","MGParts","MGParts","MGParts-MVP; BA-US011; BA-F05; Priority-2"
"User Story","US012 Search by English Arabic or part reference","Normalize reference case/spaces/hyphens, retain original query and support seeded Arabic synonyms. Parent: F06.","MGParts","MGParts","MGParts-MVP; BA-US012; BA-F06; Priority-1"
"User Story","US013 Filter sort and paginate search results","Support category, stock, fitment, price and type filters with defined stable ordering. Parent: F06.","MGParts","MGParts","MGParts-MVP; BA-US013; BA-F06; Priority-1"
"User Story","US014 Recover from no-result/error states and inspect safe diagnostics","Show recovery actions and authorized non-production machine-readable match reasons. Parent: F06.","MGParts","MGParts","MGParts-MVP; BA-US014; BA-F06; Priority-2"
"User Story","US015 Publish versioned bilingual knowledge sources","Enforce provenance, checksums, effective dates and immutable published versions. Parent: F07.","MGParts","MGParts","MGParts-MVP; BA-US015; BA-F07; Priority-1; RAG"
"User Story","US016 Retrieve ranked chunks with stable citations","Filter wrong-market/locale/expired sources and return chunk/source/version metadata. Parent: F07.","MGParts","MGParts","MGParts-MVP; BA-US016; BA-F07; Priority-1; RAG"
"User Story","US017 Provide a multilingual RAG golden set","Cover answerable, unanswerable, conflicting, stale and injection cases with evidence constraints. Parent: F07.","MGParts","MGParts","MGParts-MVP; BA-US017; BA-F07; Priority-2; RAG"
"User Story","US018 Review localized product details and fitment","Show references, specs, image, quantity rule and compatible vehicles with defined fallbacks. Parent: F08.","MGParts","MGParts","MGParts-MVP; BA-US018; BA-F08; Priority-1"
"User Story","US019 Compare genuine OE-equivalent and aftermarket variants","Show SKU, maker, origin/type, price and stock without unsupported authenticity claims. Parent: F08.","MGParts","MGParts","MGParts-MVP; BA-US019; BA-F08; Priority-1"
"User Story","US020 Produce a reproducible versioned price quote","Keep API/UI money identical using minor units, FX/tax versions and documented rounding. Parent: F09.","MGParts","MGParts","MGParts-MVP; BA-US020; BA-F09; Priority-1"
"User Story","US021 Expose stock state and prevent non-sellable purchase","Render all stock states and protect concurrent stock decrement. Parent: F09.","MGParts","MGParts","MGParts-MVP; BA-US021; BA-F09; Priority-1"
"User Story","US022 Enforce quantity rules and reconcile changes","Validate min/max/increment and provide recovery for stale price or stock. Parent: F09.","MGParts","MGParts","MGParts-MVP; BA-US022; BA-F09; Priority-1"
"User Story","US023 Add update remove and clear cart lines","Consolidate same SKU, validate quantity and calculate totals only on the server. Parent: F10.","MGParts","MGParts","MGParts-MVP; BA-US023; BA-F10; Priority-1"
"User Story","US024 Persist cart through navigation language and currency","Retain SKU/quantity/market while refreshing the display quote. Parent: F10.","MGParts","MGParts","MGParts-MVP; BA-US024; BA-F10; Priority-1"
"User Story","US025 Resolve incompatible unavailable or repriced cart lines","Provide line-specific flags/actions and block checkout until resolved. Parent: F10.","MGParts","MGParts","MGParts-MVP; BA-US025; BA-F10; Priority-1"
"User Story","US026 Enter an Egypt or UK guest delivery address","Use market-specific fields, formats and localized errors with synthetic data only. Parent: F11.","MGParts","MGParts","MGParts-MVP; BA-US026; BA-F11; Priority-1"
"User Story","US027 Quote demonstration shipping and tax","Apply versioned market/zone/weight/oversize rules and clearly label fictional policy. Parent: F11.","MGParts","MGParts","MGParts-MVP; BA-US027; BA-F11; Priority-1"
"User Story","US028 Review COD total and accept versioned policies","Show cash-only payment, total breakdown and terms/privacy versions before submission. Parent: F11.","MGParts","MGParts","MGParts-MVP; BA-US028; BA-F11; Priority-1"
"User Story","US029 Create one order safely under retry","Use idempotency and cart versions so retry returns the same order and stock decrements once. Parent: F11.","MGParts","MGParts","MGParts-MVP; BA-US029; BA-F11; Priority-1"
"User Story","US030 Show localized immutable order confirmation","Snapshot item/totals/rules and clarify that no online payment occurred. Parent: F12.","MGParts","MGParts","MGParts-MVP; BA-US030; BA-F12; Priority-1"
"User Story","US031 Securely look up a demonstration order","Require verification, return generic failures and apply throttling/masking. Parent: F12.","MGParts","MGParts","MGParts-MVP; BA-US031; BA-F12; Priority-2"
"User Story","US032 Import and manage fixture catalog and knowledge","Validate translations/relations/integrity, authorize the operator and emit audit evidence. Parent: F13.","MGParts","MGParts","MGParts-MVP; BA-US032; BA-F13; Priority-2"
"User Story","US033 Reset non-production to a named fixture","Return checksum/counts/time, remain repeatable and be unavailable in production. Parent: F13.","MGParts","MGParts","MGParts-MVP; BA-US033; BA-F13; Priority-1"
"User Story","US034 Trace journeys with correlation IDs and events","Emit versioned structured events with masked data and correct retry causation. Parent: F14.","MGParts","MGParts","MGParts-MVP; BA-US034; BA-F14; Priority-1"
"User Story","US035 Activate bounded test fault scenarios","Authorize, time-limit, audit and reset price/stock/latency/knowledge faults. Parent: F14.","MGParts","MGParts","MGParts-MVP; BA-US035; BA-F14; Priority-2"
"User Story","US036 Publish OpenAPI contracts and stable errors","Validate contracts in CI and return code/correlation/field details independent of localized text. Parent: F15.","MGParts","MGParts","MGParts-MVP; BA-US036; BA-F15; Priority-1"
"User Story","US037 Protect operator test and customer data boundaries","Verify authorization, opaque IDs, masking, Unicode validation and secret scanning. Parent: F15.","MGParts","MGParts","MGParts-MVP; BA-US037; BA-F15; Priority-1"
"User Story","US038 Run unit integration and contract suites in CI","Cover money, fitment, stock, idempotency, search and schemas with published results. Parent: F16.","MGParts","MGParts","MGParts-MVP; BA-US038; BA-F16; Priority-1"
"User Story","US039 Run EG UK AR EN end-to-end journeys","Use isolated fixtures/stable selectors and capture correlation evidence for critical paths. Parent: F16.","MGParts","MGParts","MGParts-MVP; BA-US039; BA-F16; Priority-1"
"User Story","US040 Gate accessibility responsive performance and security","Automate thresholds, retain artifacts and block critical/high release failures. Parent: F17.","MGParts","MGParts","MGParts-MVP; BA-US040; BA-F17; Priority-2"
"User Story","US041 Run reproducible RAG and agent evaluations","Record all versions and score retrieval, citation, faithfulness, abstention and tool safety against baseline. Parent: F17.","MGParts","MGParts","MGParts-MVP; BA-US041; BA-F17; Priority-2; RAG; Agentic-AI"
