"ID","Work Item Type","Title 1","Title 2","Title 3","Description","Acceptance Criteria","Story Points","Priority","State","Area Path","Iteration Path","Tags"
"12","Feature","","F04 Catalog taxonomy and browsing","","Localized stable category hierarchy, results and pagination. Parent: E02.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F04; BA-E02"
"33","User Story","","","US008 Browse localized categories and subcategories","Use stable IDs, deterministic URLs and breadcrumbs for vehicle catalog browsing. Parent: F04. Requirements: FR-013–FR-014.","Stable IDs and localized names are used; breadcrumbs and URLs are deterministic.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US008; BA-F04; Priority-1"
"34","User Story","","","US009 Handle pagination and empty or retired categories","Provide stable pagination plus intentional empty/not-found states and recovery actions. Parent: F04. Requirements: FR-015–FR-016.","Page size/order tie-breaker are documented; recovery actions are shown; no unhandled error.","3","2","New","MGParts","MGParts","MGParts-MVP; BA-US009; BA-F04; Priority-2"
"13","Feature","","F05 Fitment and part relationships","","Explicit fitment status and alternative/superseded/related part links. Parent: E02.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F05; BA-E02"
"35","User Story","","","US010 Evaluate and explain vehicle compatibility","Return one of four fitment statuses and never present ambiguous/incompatible as compatible. Parent: F05. Requirements: FR-032, BR-010–BR-011.","All four fitment statuses are handled; ambiguous/incompatible are never presented as compatible.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US010; BA-F05; Priority-1"
"36","User Story","","","US011 Show alternative replacement and related parts","Make relationship type explicit and prevent sale of discontinued parts. Parent: F05. Requirements: FR-033, BR-012.","Relationship type is explicit; discontinued items are descriptive but not sellable.","5","2","New","MGParts","MGParts","MGParts-MVP; BA-US011; BA-F05; Priority-2"
"4","Epic","E03 Search, Discovery and Knowledge","","","Provide multilingual part discovery and a versioned RAG-ready knowledge layer.","","","","New","MGParts","MGParts","MGParts-MVP; BA-E03"
"14","Feature","","F06 Search, filter and sort","","Multilingual text/reference search with refinements and diagnostics. Parent: E03.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F06; BA-E03"
"37","User Story","","","US012 Search by English Arabic or part reference","Normalize reference case/spaces/hyphens, retain original query and support seeded Arabic synonyms. Parent: F06. Requirements: FR-020–FR-022.","Reference normalization ignores case/spaces/hyphens; original query is retained; Arabic synonyms are seeded.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US012; BA-F06; Priority-1"
"38","User Story","","","US013 Filter sort and paginate search results","Support category, stock, fitment, price and type filters with defined stable ordering. Parent: F06. Requirements: FR-023–FR-024.","Category, stock, fitment, price and type filters work with defined sort orders and stable pagination.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US013; BA-F06; Priority-1"
"39","User Story","","","US014 Recover from no-result/error states and inspect safe diagnostics","Show recovery actions and authorized non-production machine-readable match reasons. Parent: F06. Requirements: FR-025–FR-026.","Recovery actions exist; diagnostic reason is machine-readable only in authorized non-production context.","5","2","New","MGParts","MGParts","MGParts-MVP; BA-US014; BA-F06; Priority-2"
"15","Feature","","F07 Versioned knowledge and retrieval","","Versioned bilingual sources, chunks, retrieval and golden cases. Parent: E03.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F07; BA-E03; RAG"
"40","User Story","","","US015 Publish versioned bilingual knowledge sources","Enforce provenance, checksums, effective dates and immutable published versions. Parent: F07. Requirements: FR-080–FR-083.","Required provenance/checksum/effective/status fields are enforced; published versions are immutable.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US015; BA-F07; Priority-1; RAG"
"41","User Story","","","US016 Retrieve ranked chunks with stable citations","Filter wrong-market/locale/expired sources and return chunk/source/version metadata. Parent: F07. Requirements: FR-081–FR-083, BR-020.","Wrong-market/locale/expired sources are filtered; response includes chunk/source/version metadata.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US016; BA-F07; Priority-1; RAG"
"42","User Story","","","US017 Provide a multilingual RAG golden set","Cover answerable, unanswerable, conflicting, stale and injection cases with evidence constraints. Parent: F07. Requirements: FR-084–FR-085.","Dataset covers answerable, unanswerable, conflicting, stale and injection cases with expected/forbidden evidence.","5","2","New","MGParts","MGParts","MGParts-MVP; BA-US017; BA-F07; Priority-2; RAG"
"5","Epic","E04 Product, Price and Inventory","","","Provide rich product variants with deterministic price, stock and quantity behavior.","","","","New","MGParts","MGParts","MGParts-MVP; BA-E04"
"16","Feature","","F08 Product detail and variants","","Localized product detail plus genuine, OE-equivalent and aftermarket variants. Parent: E04.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F08; BA-E04"
"43","User Story","","","US018 Review localized product details and fitment","Show references, specs, image, quantity rule and compatible vehicles with defined fallbacks. Parent: F08. Requirements: FR-030, FR-036.","Product shows references, specs, image, quantity rule and compatible vehicles; fallback/error states are defined.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US018; BA-F08; Priority-1"
"44","User Story","","","US019 Compare genuine OE-equivalent and aftermarket variants","Show SKU, maker, origin/type, price and stock without unsupported authenticity claims. Parent: F08. Requirements: FR-031, FR-033.","Each variant has SKU, maker, origin/type, price and stock; labels do not imply unsupported authenticity.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US019; BA-F08; Priority-1"
"17","Feature","","F09 Deterministic price, stock and quantity rules","","Versioned money, inventory and quantity/reconciliation behavior. Parent: E04.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F09; BA-E04"
"45","User Story","","","US020 Produce a reproducible versioned price quote","Keep API/UI money identical using minor units, FX/tax versions and documented rounding. Parent: F09. Requirements: FR-037–FR-039, BR-002–BR-006.","Minor-unit arithmetic, FX/tax versions and single-boundary rounding are consistent across API/UI.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US020; BA-F09; Priority-1"
"46","User Story","","","US021 Expose stock state and prevent non-sellable purchase","Render all stock states and protect concurrent stock decrement. Parent: F09. Requirements: FR-034–FR-035, BR-014–BR-015.","All stock states render; add is blocked for non-sellable; concurrent decrement is protected.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US021; BA-F09; Priority-1"
"47","User Story","","","US022 Enforce quantity rules and reconcile changes","Validate min/max/increment and provide recovery for stale price or stock. Parent: F09. Requirements: FR-036, FR-039, BR-013, BR-016.","Min/max/increment enforced server-side; stale quote/stock returns a reconciliation action.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US022; BA-F09; Priority-1"
"6","Epic","E05 Cart, COD Checkout and Orders","","","Deliver an anonymous cash-on-delivery customer journey and secure order lookup.","","","","New","MGParts","MGParts","MGParts-MVP; BA-E05"
"18","Feature","","F10 Anonymous cart and reconciliation","","Persistent server-quoted cart with explicit conflict resolution. Parent: E05.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F10; BA-E05"
"48","User Story","","","US023 Add update remove and clear cart lines","Consolidate same SKU, validate quantity and calculate totals only on the server. Parent: F10. Requirements: FR-040–FR-042, FR-044.","Same SKU consolidates; quantities validated; remove/clear are idempotent; totals are server-calculated.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US023; BA-F10; Priority-1"
"49","User Story","","","US024 Persist cart through navigation language and currency","Retain SKU/quantity/market while refreshing the display quote. Parent: F10. Requirements: FR-043–FR-044.","Lifetime documented; display quote updates without changing SKU/quantity/market.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US024; BA-F10; Priority-1"
"50","User Story","","","US025 Resolve incompatible unavailable or repriced cart lines","Provide line-specific flags/actions and block checkout until resolved. Parent: F10. Requirements: FR-045–FR-046.","Flags and recovery actions are line-specific; checkout remains blocked until resolved; empty cart cannot proceed.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US025; BA-F10; Priority-1"
"19","Feature","","F11 Guest COD checkout","","Market-aware guest address, shipping/tax quote and cash order submission. Parent: E05.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F11; BA-E05"
"51","User Story","","","US026 Enter an Egypt or UK guest delivery address","Use market-specific fields, formats and localized errors with synthetic data only. Parent: F11. Requirements: FR-050–FR-052.","Market-specific fields/formats and localized errors work; no live address service or real test data is required.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US026; BA-F11; Priority-1"
"52","User Story","","","US027 Quote demonstration shipping and tax","Apply versioned market/zone/weight/oversize rules and clearly label fictional policy. Parent: F11. Requirements: FR-053–FR-055, BR-006–BR-008.","Market/zone/weight/oversize rules drive quote; unknown policy is clearly labeled; unavailable route blocks submission.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US027; BA-F11; Priority-1"
"53","User Story","","","US028 Review COD total and accept versioned policies","Show cash-only payment, total breakdown and terms/privacy versions before submission. Parent: F11. Requirements: FR-050, FR-055–FR-056.","Cash is the sole payment option; subtotal/tax/shipping/total and policy versions are visible before submit.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US028; BA-F11; Priority-1"
"54","User Story","","","US029 Create one order safely under retry","Use idempotency and cart versions so retry returns the same order and stock decrements once. Parent: F11. Requirements: FR-057–FR-059, BR-014–BR-018.","Same idempotency key/cart version returns same order; stock decremented once; stale cart/policy is recoverable.","13","1","New","MGParts","MGParts","MGParts-MVP; BA-US029; BA-F11; Priority-1"
"20","Feature","","F12 Confirmation and secure order lookup","","Localized confirmation and non-enumerable order lookup. Parent: E05.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F12; BA-E05"
"55","User Story","","","US030 Show localized immutable order confirmation","Snapshot item/totals/rules and clarify that no online payment occurred. Parent: F12. Requirements: FR-058–FR-059.","Confirmation snapshots items/totals/rule versions and states clearly that no online payment occurred.","5","1","New","MGParts","MGParts","MGParts-MVP; BA-US030; BA-F12; Priority-1"
"56","User Story","","","US031 Securely look up a demonstration order","Require verification, return generic failures and apply throttling/masking. Parent: F12. Requirements: FR-060, security requirements.","Reference plus verification value required; generic failures, throttling and masked output prevent enumeration.","8","2","New","MGParts","MGParts","MGParts-MVP; BA-US031; BA-F12; Priority-2"
"7","Epic","E06 Operations, Data and Test Controls","","","Provide resettable fixtures, observability, fault controls, contracts and protected operator tooling.","","","","New","MGParts","MGParts","MGParts-MVP; BA-E06"
"21","Feature","","F13 Catalog administration and fixtures","","Protected import/management and deterministic non-production reset. Parent: E06.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F13; BA-E06"
"57","User Story","","","US032 Import and manage fixture catalog and knowledge","Validate translations/relations/integrity, authorize the operator and emit audit evidence. Parent: F13. Requirements: FR-070, FR-075.","Validation covers IDs, translations, relations and referential integrity; audit event emitted; public users denied.","13","2","New","MGParts","MGParts","MGParts-MVP; BA-US032; BA-F13; Priority-2"
"58","User Story","","","US033 Reset non-production to a named fixture","Return checksum/counts/time, remain repeatable and be unavailable in production. Parent: F13. Requirements: FR-071, NFR-010–NFR-012.","Authorized reset returns checksum/counts/time; operation is isolated, repeatable and unavailable in production.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US033; BA-F13; Priority-1"
"22","Feature","","F14 Observability and controlled failures","","Correlation, structured events and bounded fault scenarios. Parent: E06.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F14; BA-E06"
"59","User Story","","","US034 Trace journeys with correlation IDs and events","Emit versioned structured events with masked data and correct retry causation. Parent: F14. Requirements: FR-073, NFR-009–NFR-010.","Required events/schema versions exist; PII is masked; order retry shares correct causation context.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US034; BA-F14; Priority-1"
"60","User Story","","","US035 Activate bounded test fault scenarios","Authorize, time-limit, audit and reset price/stock/latency/knowledge faults. Parent: F14. Requirements: FR-072, fault-control contract.","Controls are authorized, time-limited, auditable, resettable and disabled in production.","8","2","New","MGParts","MGParts","MGParts-MVP; BA-US035; BA-F14; Priority-2"
"23","Feature","","F15 API contracts, authorization and privacy","","OpenAPI, stable errors, security and privacy boundaries. Parent: E06.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F15; BA-E06"
"61","User Story","","","US036 Publish OpenAPI contracts and stable errors","Validate contracts in CI and return code/correlation/field details independent of localized text. Parent: F15. Requirements: FR-074, data/API conventions.","Contracts validate in CI; errors contain code/correlation/field details; localized text is not the assertion key.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US036; BA-F15; Priority-1"
"62","User Story","","","US037 Protect operator test and customer data boundaries","Verify authorization, opaque IDs, masking, Unicode validation and secret scanning. Parent: F15. Requirements: FR-075, NFR-007 and security requirements.","Authorization, non-sequential IDs, masking, input validation and secret scanning pass agreed tests.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US037; BA-F15; Priority-1"
"8","Epic","E07 Quality Engineering and AI Evaluation","","","Automate functional, non-functional, RAG and agent quality gates.","","","","New","MGParts","MGParts","MGParts-MVP; BA-E07"
"24","Feature","","F16 Automated functional quality gates","","CI unit, integration, contract and multilingual E2E gates. Parent: E07.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F16; BA-E07"
"63","User Story","","","US038 Run unit integration and contract suites in CI","Cover money, fitment, stock, idempotency, search and schemas with published results. Parent: F16. Requirements: Definition of Done, NFR-008.","Money, fitment, stock, idempotency, search and schema tests cover positive/negative boundaries and publish results.","8","1","New","MGParts","MGParts","MGParts-MVP; BA-US038; BA-F16; Priority-1"
"64","User Story","","","US039 Run EG UK AR EN end-to-end journeys","Use isolated fixtures/stable selectors and capture correlation evidence for critical paths. Parent: F16. Requirements: FR-001–FR-060, testability contract.","Critical browse/search/cart/COD paths run on isolated fixtures with stable selectors and capture correlation IDs.","13","1","New","MGParts","MGParts","MGParts-MVP; BA-US039; BA-F16; Priority-1"
"25","Feature","","F17 Non-functional, RAG and agent evaluation gates","","Accessibility, performance, security and reproducible AI evaluation. Parent: E07.","","","","New","MGParts","MGParts","MGParts-MVP; BA-F17; BA-E07; RAG; Agentic-AI"
"65","User Story","","","US040 Gate accessibility responsive performance and security","Automate thresholds, retain artifacts and block critical/high release failures. Parent: F17. Requirements: NFR-001–NFR-008.","Agreed thresholds are automated; artifacts are retained; critical/high failures block the release candidate.","13","2","New","MGParts","MGParts","MGParts-MVP; BA-US040; BA-F17; Priority-2"
"66","User Story","","","US041 Run reproducible RAG and agent evaluations","Record all versions and score retrieval, citation, faithfulness, abstention and tool safety against baseline. Parent: F17. Requirements: FR-080–FR-085, agent strategy.","Run records fixture/corpus/model/tool/prompt versions; scores retrieval/citations/faithfulness/abstention/tool safety and compares baseline.","13","2","New","MGParts","MGParts","MGParts-MVP; BA-US041; BA-F17; Priority-2; RAG; Agentic-AI"
